"Alcântara, Antônio Flávio de Carvalho",1
"Alcantara, Bruno Leonardo Batista",1
"Alcântara, Carolina Moreira de",1
"Alcântara, Daniele de Sousa",1
"Alcântara, Dhara Vieira",1
"Alcântara, Flávia Aparecida de",2
"Alcantara, Glaucia B.",1
"Alcântara, Guilherme Borges",1
"Alcântara, Gustavo Braga",2
"Alcantara, Igor Rafael Mendes Guimarães",1
"Alcântara, João Rochael Meira",1
"Alcântara, Kéren Moreira de",1
"Alcântara, Livia A.",1
"Alcantara, Lucas Teles de",1
"Alcântara, Lucas Teles de",3
"Alcantara, Luiz Carlos Junior",1
"Alcantara, Marcos Vinicius Bonifacio Medeiros",1
"Alcântara, Maria Eugênia Rodrigues",1
"Alcantara, Moacir Oliveira de",1
"Alcântara, Moacir Oliveira de",1
"Alcântara, Patrícia Colmenero Moreira de",3
"Alcântara, Paulo Henrique de Franco",1
"Alcantara, Pedro Henrique Oliveira de",1
"Alcantara, Pedro Ivo de Morais",1
"Alcântara, Pedro Ivo Souza de",2
"Alcântara, Ricardo Wagner de Souza",1
"Alcântara, Shayane Marques",2
"Alcântara, Simone Silveira de",1
"Alcântara, Tereza Cristina Sepúlveda",1
"Alcântara, Wenersamy Ramos de",1
"Alcantara, Flavio F.",1
"Alchieri, Eduardo",1
"Alchieri, João Carlos",2
"Alcochete, António A. N.",1
"Alcoforado, Michel Fontenelle",1
"Aldabalde, Taiguara Villela",3
"Aldabalde, Taiguara Villela (Trad.)",1
"Aldè, Veronica",1
"Aldigueri, Daniel Rodrigues",1
"Aldrighi, César Fernando Schiavon (org.)",1
"Aldrigue, Natália de Sousa",1
"Alecrim, Cecília Gomes Muraro",2
"Alecrim, Hugo Muscelli",2
"Alecrim, Maria das Graças Costa",1
"Alecrim, Wenya Alves",1
"Alecrim, Maria das Graças Costa",2
"Alegretti, Ciro Fraga",1
"Aleixo Filho, Marcos Fabrício de Souza",1
"Aleixo, Adler Peggy Lima",1
"Aleixo, José Carlos Brandi",8
"Alejandro Ceballos, Manuel",1
"Alelvan, Giovanna Monique",2
"Alenca, Maurício Dias Chades de",1
"Alencar Junior, Osmar Gomes",1
"Alencar, Alancoc dos Santos",1
