Nome Escolhido;Certeza (%);Frequencia Final;Nomes Agrupados
Almeida, Adriana Ávila de;100.0;1;Almeida, Adriana Ávila de (Freq:1, Sim:100%)
Almeida, Alexandre Nascimento de;97.7;26;Almeida, Alexandre Nascimento de (Freq:26, Sim:100%) | Almeida, Alexandre Nascimento de (Freq:4, Sim:98%) | Nascimento, Alexandre de Almeida (Freq:1, Sim:95%)
Almeida, Ana Camila Maria de;100.0;1;Almeida, Ana Camila Maria de (Freq:1, Sim:100%)
Almeida, Ana Carolina Freitas de;98.5;1;Almeida, Ana Carolina Freitas de (Freq:1, Sim:100%) | Almeida, Ana Caroline Freitas de (Freq:1, Sim:97%)
Almeida, Ana Paula Gonçalves Soares de;100.0;2;Almeida, Ana Paula Gonçalves Soares de (Freq:2, Sim:100%)
Almeida, Andréa Gonçalves de;95.5;1;Almeida, Andréa Gonçalves de (Freq:1, Sim:100%) | Almeida, Naiara Gonçalves de (Freq:1, Sim:91%)
Almeida, Andréia de;96.0;4;Almeida, Andréia de (Freq:4, Sim:100%) | Almeida, Adriana de (Freq:1, Sim:92%)
Almeida, Anna A.;95.0;1;Almeida, Anna A. (Freq:1, Sim:100%) | Almeida, Anna Alice Figueiredo de (Freq:1, Sim:90%)
Almeida, Ariane Alves;100.0;2;Almeida, Ariane Alves (Freq:2, Sim:100%)
Almeida, Arthur José Medeiros de;100.0;3;Almeida, Arthur José Medeiros de (Freq:3, Sim:100%)
Almeida, Bárbara Ribeiro Dourado Pias de;100.0;5;Almeida, Bárbara Ribeiro Dourado Pias de (Freq:5, Sim:100%)
Almeida, Camila Cadena de;97.5;3;Almeida, Camila Cadena de (Freq:3, Sim:100%) | Almeida, Camila Cadena (Freq:1, Sim:95%)
Almeida, Carolane de Macêdo;100.0;4;Almeida, Carolane de Macêdo (Freq:4, Sim:100%)
Almeida, Carolina Santos de;95.5;1;Almeida, Carolina Netto de (Freq:1, Sim:100%) | Almeida, Carolina Santos de (Freq:1, Sim:91%)
Almeida, Celia;100.0;2;Almeida, Celia (Freq:2, Sim:100%)
Almeida, Cíntia de;100.0;2;Almeida, Cíntia de (Freq:2, Sim:100%)
Almeida, Dalva Martins de;100.0;2;Almeida, Dalva Martins de (Freq:2, Sim:100%)
Almeida, David Wilkerson Silva;100.0;2;Almeida, David Wilkerson Silva (Freq:2, Sim:100%)
Almeida, Diego Azambuja de;100.0;2;Almeida, Diego Azambuja de (Freq:2, Sim:100%)
